Date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
2021-07-06,138.69149780273438,183.78700256347656,125.24370574951172,350.3327941894531,267.656005859375,20.652315139770508,219.86000061035156
2021-07-07,141.18170166015625,184.82899475097656,125.52557373046875,348.0587158203125,269.84429931640625,20.3262939453125,214.88333129882812
2021-07-08,139.88287353515625,186.57049560546875,124.1063003540039,343.25225830078125,267.4247131347656,19.858339309692383,217.60333251953125
2021-07-09,141.70904541015625,185.9669952392578,124.57723236083984,347.9892272949219,267.9259338378906,20.005508422851562,218.98333740234375
2021-07-12,141.11331176757812,185.92750549316406,126.02330780029297,350.710205078125,267.3282775878906,20.46672821044922,228.56666564941406
2021-07-13,142.2266082763672,183.8679962158203,126.38655853271484,349.6475524902344,270.8564758300781,20.20481300354004,222.84666442871094
2021-07-14,145.6543426513672,184.08399963378906,127.27534484863281,345.21856689453125,272.3313293457031,19.797224044799805,217.7933349609375
2021-07-15,145.00006103515625,181.55999755859375,126.05258178710938,342.0704650878906,270.9046936035156,18.923927307128906,216.86666870117188
2021-07-16,142.95901489257812,178.68150329589844,126.01785278320312,338.7934265136719,270.6347351074219,18.12047004699707,214.74000549316406
2021-07-19,139.11138916015625,177.47950744628906,123.6437759399414,334.6126403808594,267.0294494628906,18.737842559814453,215.4066619873047
2021-07-20,142.72470092773438,178.6595001220703,125.26304626464844,339.2899475097656,269.2562561035156,18.570470809936523,220.1666717529297
2021-07-21,141.9922332763672,179.25999450683594,126.5925064086914,343.8282165527344,271.26129150390625,19.36668586730957,218.42999267578125
2021-07-22,143.3594207763672,181.90150451660156,127.45843505859375,348.7538146972656,275.83056640625,19.55027198791504,216.4199981689453
2021-07-23,145.07815551757812,182.83200073242188,132.0175323486328,367.22479248046875,279.2333679199219,19.514358520507812,214.4600067138672
2021-07-26,145.49813842773438,184.99099731445312,133.0298614501953,369.8762512207031,278.63580322265625,19.250946044921875,219.2066650390625
2021-07-27,143.33009338378906,181.3195037841797,130.91085815429688,365.258544921875,276.21612548828125,19.16514015197754,214.92666625976562
2021-07-28,141.58209228515625,181.51600646972656,135.07342529296875,370.69061279296875,275.90771484375,19.4594783782959,215.66000366210938
2021-07-29,142.2266082763672,179.99600219726562,134.75929260253906,355.8343811035156,276.1775817871094,19.618122100830078,225.78334045410156
2021-07-30,142.4414520263672,166.37950134277344,133.7161865234375,353.8283996582031,274.6448974609375,19.455488204956055,229.06666564941406
2021-08-02,142.10943603515625,166.57400512695312,133.8432159423828,349.50860595703125,274.5580749511719,19.705930709838867,236.55667114257812
2021-08-03,143.90628051757812,168.31199645996094,134.6129150390625,348.8034973144531,276.7752380371094,19.770782470703125,236.5800018310547
2021-08-04,143.5059051513672,167.73599243164062,134.11219787597656,356.43023681640625,276.18719482421875,20.228759765625,236.97332763671875
2021-08-05,143.61337280273438,168.79949951171875,135.229736328125,360.4521179199219,279.0887145996094,20.590944290161133,238.2100067138672
