Date,equity
2025-01-02,0.9896508244461438
2025-01-03,1.0103696696433242
2025-01-06,1.0272246761931654
2025-01-07,1.0024781701806398
2025-01-08,1.002075805886823
2025-01-10,0.9834300058603354
2025-01-13,0.9763277015209899
2025-01-14,0.968739100843464
2025-01-15,0.9998312073143125
2025-01-16,0.97398706532049
2025-01-17,0.9905228677283618
2025-01-21,0.9851251029861845
2025-01-22,0.9982224625772832
2025-01-23,0.9971404184063188
2025-01-24,0.9897282021387013
2025-01-27,0.9528783800361242
2025-01-28,0.9900777493869568
2025-01-29,0.9801123077696392
2025-01-30,0.9821649346296496
2025-01-31,0.9768541869565199
2025-02-03,0.9497363017540283
2025-02-04,0.9683923725472063
2025-02-05,0.9591174202776688
2025-02-06,0.9662217770998374
2025-02-07,0.9476433314153394
2025-02-10,0.9525477256673218
2025-02-11,0.9512759502220565
2025-02-12,0.9551405255778628
2025-02-13,0.9773461457199066
2025-02-14,0.9856483718336488
2025-02-18,0.9843097457458965
2025-02-19,0.9895221407220596
2025-02-20,0.9901388258655528
2025-02-21,0.9688790858286846
2025-02-24,0.9613073650176156
2025-02-25,0.9412311290705614
2025-02-26,0.9323001476852911
2025-02-27,0.9019014936753877
2025-02-28,0.9224636287984485
2025-03-03,0.8919252268356093
2025-03-04,0.892711037227627
2025-03-05,0.9021739459001052
2025-03-06,0.8839337539736729
2025-03-07,0.8932889068345153
2025-03-10,0.8417384256623671
2025-03-11,0.8369089879328551
2025-03-12,0.8533780420113986
2025-03-13,0.8339618081237398
2025-03-14,0.8572085662643042
2025-03-17,0.8492013927420573
2025-03-18,0.8312543168679564
2025-03-19,0.8467282879854283
2025-03-20,0.8452638883674001
2025-03-21,0.8570759539517248
2025-03-24,0.8815948827728457
2025-03-25,0.8920185202519071
2025-03-26,0.8654110825890176
2025-03-27,0.8622699526136522
2025-03-28,0.8359340527007131
2025-03-31,0.8380663838732687
2025-04-01,0.8499277034899794
2025-04-02,0.8560215674072393
2025-04-03,0.7985131870948988
2025-04-04,0.7474298284597817
2025-04-07,0.7416891265048814
2025-04-08,0.7192047247192314
2025-04-09,0.8273135496682783
2025-04-10,0.7892628764744284
2025-04-11,0.8125389753730392
2025-04-14,0.820917311728659
2025-04-15,0.8196197411845358
2025-04-16,0.7855919023542663
2025-04-17,0.7816340657128058
2025-04-21,0.7582506372926024
2025-04-22,0.7805488686194948
2025-04-23,0.8041811371367366
2025-04-24,0.8258364463931223
2025-04-25,0.8470117498523765
2025-04-28,0.8432654999995051
2025-04-29,0.8472822798308858
2025-04-30,0.8446835385673691
2025-05-01,0.8589191252002327
2025-05-02,0.8590267230759852
2025-05-05,0.8462326084647042
2025-05-06,0.8419902215447386
2025-05-07,0.8304808705088005
2025-05-08,0.8400219053893794
2025-05-09,0.8429697402016958
