Date,EqualWeight,Markowitz,BlackLitterman
2025-01-02,0.0,0.0,0.0
2025-01-03,0.0,0.0,0.0
2025-01-06,0.0,0.0,0.0
2025-01-07,-0.025382331750813725,-0.024090677983866104,-0.014256956496222828
2025-01-08,-0.026903679344861153,-0.024482358387386882,-0.013762633237681121
2025-01-10,-0.0385242698808691,-0.04263400375400461,-0.028231760956748952
2025-01-13,-0.042965710045060335,-0.049548072001214805,-0.03240557691864476
2025-01-14,-0.0525504553781726,-0.05693557331535526,-0.03764832289939524
2025-01-15,-0.018054146904574297,-0.02666758760786425,-0.010289986681004781
2025-01-16,-0.036663247233999274,-0.05182682788005144,-0.028355037755782964
2025-01-17,-0.019873191362358544,-0.035729282470752355,-0.014780898322624636
2025-01-21,-0.016876768966215816,-0.04098409935213765,-0.018329845715912785
2025-01-22,-0.0026206499148014872,-0.02823388314051689,-0.0021639635642568544
2025-01-23,-0.0004299238144009898,-0.02928726915684776,-0.0025656823918773775
2025-01-24,-0.004569377572786526,-0.036503075641524,-0.004055772692086235
2025-01-27,-0.03342003915195013,-0.07237602570241075,-0.013329847383545701
2025-01-28,-0.004568225375817803,-0.036162574577707995,0.0
2025-01-29,-0.01461295797931883,-0.04586388716822398,-0.004115645128525469
2025-01-30,-0.01455152677016136,-0.04386555496256572,-0.01938675901349418
2025-01-31,-0.014644824211889396,-0.04903559893812515,-0.01517570399399959
2025-02-03,-0.032478487255399924,-0.07543484091479291,-0.032955871157897665
2025-02-04,-0.016084211418233352,-0.057273173428719515,-0.017232291273961864
2025-02-05,-0.027214903874341778,-0.06630224189027079,-0.03842410382088446
2025-02-06,-0.019879462035201745,-0.059386166581280375,-0.034484560407165965
2025-02-07,-0.03851997723061795,-0.07747224484188209,-0.05934442513559801
2025-02-10,-0.03393664211401881,-0.07269784307587812,-0.05527319240240369
2025-02-11,-0.041342076487399515,-0.07393582621059913,-0.05549957022648455
2025-02-12,-0.040466855330209106,-0.07017362729271825,-0.05568608532495167
2025-02-13,-0.02166290957652106,-0.04855649690980823,-0.04296909579731545
2025-02-14,-0.017119145515939738,-0.040474239426100844,-0.04349499793192346
2025-02-18,-0.02312664010021137,-0.04177738912223938,-0.0458478674905326
2025-02-19,-0.020106695322735013,-0.0367031666066453,-0.038842377000184114
2025-02-20,-0.024953100203194967,-0.0361028218507744,-0.04018055921910135
2025-02-21,-0.04983284602736526,-0.056799084691172674,-0.05842339184703271
2025-02-24,-0.06328489979306806,-0.06417008145610659,-0.06399002770475382
2025-02-25,-0.08524524038367698,-0.08371419522435675,-0.07754608620022074
