Date,EqualWeight,Markowitz,BlackLitterman
2025-01-02,0.9948392777998296,0.9896507277427337,0.9882953053652527
2025-01-03,1.0197898695740828,1.0103695445908842,1.0012611789253438
2025-01-06,1.0397806151293243,1.0272245280748171,1.0146335602313472
2025-01-07,1.0133885586080467,1.002477992751838,1.0001679737035212
2025-01-08,1.0118066908708825,1.0020756490341751,1.0006695306712405
2025-01-10,0.9997238260951862,0.9834298336886698,0.9859886681002007
2025-01-13,0.9951057027092033,0.9763275331963522,0.981753774351032
2025-01-14,0.9851396703108819,0.9687389106452822,0.9764343083311945
2025-01-15,1.0210082631552508,0.999830927979435,1.0041929944104662
2025-01-16,1.001658881367718,0.9739867392641165,0.9858635873227029
2025-01-17,1.0191168559899884,0.9905225327503467,0.999636364742845
2025-01-21,1.022232477912237,0.9851246559592461,0.9960354836141193
2025-01-22,1.0370557141488734,0.9982219907900801,1.0124379301759343
2025-01-23,1.0393335886811277,0.997139926836574,1.0120303327716538
2025-01-24,1.0350294649059342,0.9897276734256732,1.0105184371452867
2025-01-27,1.0050311062622634,0.9528780992287273,1.0011086497232398
2025-01-28,1.035030662938007,0.9900774444702607,1.0257444209457842
2025-01-29,1.0245863446927292,0.9801120182227616,1.0215228209166065
2025-01-30,1.024650219673175,0.9821647540796556,1.0058585610474722
2025-01-31,1.0245532108018252,0.9768539580967355,1.0101780272400145
2025-02-03,1.0060101136724346,0.9497360092157201,0.9919401199681626
2025-02-04,1.0230565638870035,0.9683921195281535,1.008068494311405
2025-02-05,1.0114830856381758,0.9591172389387813,0.9863311108216704
2025-02-06,1.0191103358659221,0.9662216011341889,0.9903720754993659
2025-02-07,0.9997282895097048,0.9476431379282181,0.9648722079487098
2025-02-10,1.0044939525165861,0.9525475205291412,0.9690482522111558
2025-02-11,0.9967939254085324,0.9512758338878128,0.9688160464210789
2025-02-12,0.9977039634017301,0.9551404568957566,0.9686247295994042
2025-02-13,1.0172559416843583,0.977346103451673,0.981669110658603
2025-02-14,1.021980459474272,0.9856483965811536,0.9811296694780653
2025-02-18,1.015733983060052,0.9843097692495267,0.9787162266551088
2025-02-19,1.018874063098433,0.9895221350784545,0.9859020694415725
2025-02-20,1.0138348652506626,0.9901388239369862,0.9845294364963093
2025-02-21,0.9879653878333455,0.9688791151078457,0.965816952705961
2025-02-24,0.9739782030940903,0.9613074464345455,0.9601070070314668
2025-02-25,0.9511442666463376,0.9412312533923142,0.946201955659727
2025-02-26,0.9499537433685048,0.9323002460350315,0.9366069659207549
2025-02-27,0.9201569175328617,0.9019015729504525,0.9179164984419458
2025-02-28,0.9401333650456001,0.9224637215745883,0.9321458038573467
2025-03-03,0.9098319997662405,0.8919253565602453,0.9119961321334428
2025-03-04,0.9044501032876009,0.8927111398846389,0.9118542158802113
2025-03-05,0.9210882246413024,0.9021739541050043,0.927773635873174
2025-03-06,0.8935087799179547,0.8839338315479284,0.9158330900851228
2025-03-07,0.8961901414945016,0.8932890156016687,0.9176383804570397
2025-03-10,0.8450346229860598,0.8417385006556377,0.8760211139582821
2025-03-11,0.8496912832796004,0.8369089930625683,0.8706546137532566
2025-03-12,0.8719566671699867,0.8533779413899374,0.8776890675809323
2025-03-13,0.8502220390604143,0.8339617038740386,0.8571120265915911
2025-03-14,0.8748409736744709,0.8572084435230511,0.8758606645689788
2025-03-17,0.8641451174578173,0.8492012486014741,0.8713439951520938
2025-03-18,0.8417609952493705,0.8312542299404524,0.8574521087443624
2025-03-19,0.8568163084464607,0.846728191851698,0.8710208518571342
2025-03-20,0.8563414167589976,0.8452638276227864,0.8675369601060116
2025-03-21,0.8695365142482493,0.8570758698248475,0.8798539995136514
2025-03-24,0.9022204543375891,0.8815947646618372,0.8984779475626806
2025-03-25,0.9137366442959071,0.8920184138906445,0.909925838127321
2025-03-26,0.8856366684518846,0.8654110074779744,0.8914384185599572
2025-03-27,0.8813095296701516,0.8622699414438761,0.8911537493394162
2025-03-28,0.8508217957981582,0.8359340982810549,0.8595213195964018
2025-03-31,0.8472454334568501,0.8380664386660267,0.8593569867393837
2025-04-01,0.8614769019724882,0.8499277075906494,0.8714362240343111
2025-04-02,0.8707048497299714,0.8560216074655395,0.8770715264430005
2025-04-03,0.8124277830286223,0.7985130507629523,0.8281098607919023
2025-04-04,0.7645744219474744,0.7474296407581449,0.7871735569476324
2025-04-07,0.7670934242893817,0.7416888447361022,0.7813476773405857
2025-04-08,0.7481123451982493,0.7192043632230434,0.7616155174270193
2025-04-09,0.8585016992403808,0.8273132722673715,0.8554505672565592
2025-04-10,0.8151008752297829,0.7892625870346719,0.8229095922670318
2025-04-11,0.830648607674146,0.8125387180102134,0.8439442775180007
2025-04-14,0.8299065494435054,0.8209171271514458,0.8488877210686006
2025-04-15,0.8255448329892197,0.8196195006306216,0.8423777939722229
2025-04-16,0.7926561128876934,0.7855916617918167,0.8146326839865338
2025-04-17,0.7868262173544393,0.781633896171576,0.8110622318273519
2025-04-21,0.7606579078964959,0.7582505384423529,0.7905654195379082
2025-04-22,0.7840148873584313,0.7805487228904501,0.8134074819241958
2025-04-23,0.8115314059359079,0.8041810127972361,0.8358778051914486
2025-04-24,0.8355351093926555,0.8258362787499367,0.8593693718630335
2025-04-25,0.8610336452342091,0.8470115701798021,0.8731876080549509
2025-04-28,0.8578878518091465,0.8432652909002278,0.8712964984901433
2025-04-29,0.8628795734487112,0.8472820712131619,0.8748131893679932
2025-04-30,0.8555248962352837,0.8446833684648012,0.8717948031850855
2025-05-01,0.8785456596516988,0.8589188065272387,0.9007533326138066
